"0";"AGARRE ELECTRIZANTE";"Evocación";"1 acción";"Contacto";"V, S";"Instantánea";"Un relámpago salta de tu mano para dar una descarga eléctrica a la criatura que intentas tocar. Haz un ataque de conjuro cuerpo a cuerpo contra el objetivo, Tienes ventaja en la tirada de ataque si la criatura lleva armadura de metal. Si impactas, el objetivo sufre 1d8 de daño de relámpago y no podrá llevar a cabo reacciones hasta el comienzo de su próximo turno.<BR><strong>A niveles superiores. </strong>El daño del conjuro aumenta en 1d8 cuando alcanzas nivel 5 (2d8), nivel 11 (3d8) y nivel 17 (4d8),";"PHB"
"0";"AMISTAD";"Encantamiento";"1 acción";"Personal";"S, M";"Concentración, hasta 1 minuto";"(una pequeña cantidad de maquillaje aplicada sobre la cara al lanzar el conjuro)Hasta el final de la duración del conjuro tienes ventaja en todas las pruebas de Carisma relacionadas con una criatura de tu elección que no sea hostil hacia ti. Cuando el conjuro termina, el objetivo se da cuenta de que has usado magia para manipular su actitud y se vuelve hostil hacia ti. Una criatura con tendencias violentas podría atacarte, mientras que otra podría intentar vengarse de otra manera (bajo el criterio del DM), dependiendo de la índole de tu interacción con ella.";"PHB"
"0";"ASTILLA MENTAL";"Encantamiento";"1 acción";"60 pies";"V";"1 asalto";"Clavas un pico desorientador de energía psíquica en la mente de una criatura que puedes ver dentro del alcance. El objetivo deberá superar una tirada de salvación de Inteligencia o sufrir 1d6 de daño psíquico y restar 1d4 de la siguiente tirada de salvación que haga antes del final de tu siguiente turno.<BR> El daño de este conjuro aumenta en 1d6 cuando alcanzas niveles superiores: nivel 5 (2d6), nivel 11 (3d6) y nivel 17 (4d6).";"TCE"
"0";"ATRACCIÓN DEL RELÁMPAGO";"Evocación";"1 acción";"15 pies";"V";"Instantánea";"Creas un látigo imbuido de la energía del relámpago que golpea a una criatura de tu elección que puedas ver dentro del alcance. El objetivo deberá superar una tirada de salvación de Fuerza. De lo contrario, será arrastrado hasta 10 pies en linea recta hacia ti y, justo después, recibirá 1d8 de daño de relámpago si está a 5 pies o menos de ti.<BR><strong>A niveles superiores. </strong>El daño del conjuro aumenta en 1d8 cuando alcanzas el nivel 5 (2d8), el nivel 11 (3d8) y el nivel 17 (4d8).";"TCE"
"0";"BURLA DAÑINA";"Encantamiento";"1 acción";"60 pies";"V";"Instantánea";"Profieres una sarta de improperios entremezclados con sutiles encantamientos hacia una criatura que puedas ver dentro del alcance. Si el objetivo puede oírte (aunque no necesita entenderte), debe tener éxito en una tirada de salvación de Sabiduría o recibirá 1d4 de daño psíquico y sufrirá desventaja en la siguiente tirada de ataque que realice antes del final de su próximo turno.<BR><strong>A niveles superiores. </strong>El daño del conjuro aumenta en 1d4 cuando alcanzas nivel 5 (2d4), nivel 11 (3d4) y nivel 17 (4d4).";"PHB"
"0";"CONGELACIÓN";"Evocación";"1 acción";"60 pies";"V, S";"Instantáneo";"Haces que se forme escarcha entumecedora en una criatura que puedes ver dentro del alcance. El objetivo debe hacer una tirada de salvación de Constitución. En una salvación fallida, el objetivo recibe 1d6 de daño por frío, y tiene desventaja en la siguiente tirada de ataque con arma que realice antes del final de su siguiente turno.<BR> El daño del conjuro aumenta en 1d6 cuando alcanzas 5o nivel (2d6), 11o nivel (3d6) y 17o nivel (4d6).";"XGE"
"0";"CONTROLAR LLAMAS";"Transmutación";"1 acción";"60 pies";"S";"Instantáneo o 1 hora (ver abajo)";"Eliges una llama no mágica que puedes ver dentro del alcance y que cabe dentro de un cubo de 5 pies. Le afectas de una de las siguientes maneras:<BR>· Expandes instantáneamente la llama 5 pies en una dirección, siempre que haya madera u otro combustible en la nueva ubicación.<BR>· Extingues instantáneamente las llamas dentro del cubo. Duplicas o reduces a la mitad el área de luz brillante y la luz tenue emitida por la llama, cambias su color o ambos. El cambio dura 1 hora.<BR>· Haces que formas simples, como la forma vaga de una criatura, un objeto inanimado o una ubicación, aparezcan dentro de las llamas y se animen como quieras. Las formas duran 1 hora. <BR> Si lanzas este conjuro varias veces, puedes tener hasta tres efectos no instantáneos creados por este activos a un mismo tiempo, y puedes descartar tal efecto como una acción.";"XGE"
"0";"CREAR HOGUERA";"Conjuración";"1 acción";"60 pies";"V, S";"Concentración, hasta 1 minuto";"Creas una hoguera en el suelo que puedes ver dentro del alcance. Hasta que termina el conjuro, la hoguera mágica llena un cubo de 5 pies. Cualquier criatura en el espacio de la hoguera cuando lances el conjuro debe tener éxito en una tirada de salvación de Destreza o recibir 1d8 de daño de fuego. Una criatura también debe hacer la tirada de salvación cuando se mueve al espacio de la hoguera por primera vez en un turno o termina su turno allí.<BR> La hoguera enciende objetos inflamables en su área que no están siendo usados o cargados.<BR> El daño de este conjuro se incrementa por 1d8 cuando alcanzas el nivel 5 (2d8), nivel 11 (3d8), y el nivel 17 (4d8).";"XGE"
"0";"CREAR LLAMA";"Conjuración";"1 acción";"Personal";"V, S";"10 minutos";"Aparece en tu mano una llama parpadeante. Esta permanece hasta el final de la duración del conjuro y no te daña ni a ti ni a tu equipo. La llama emite luz brillante en un radio de 10 pies y luz tenue 10 pies más allá. El conjuro termina si lo lanzas de nuevo o si utilizas una acción para finalizarlo. También puedes atacar con la llama, pero esto termina el conjuro. Cuando lanzas este conjuro, o como acción en un turno posterior, puedes arrojar la llama a una criatura hasta a 30 pies de ti. Haz un ataque de conjuro a distancia. Si impactas, el objetivo recibe 1d8 de daño de fuego. El daño del conjuro aumenta en 1d8 cuando alcanzas nivel 5 (2d8), nivel 11 (3d8) y nivel 17 (4d8).";"PHB"
"0";"DESCARGA DE FUEGO";"Evocación";"1 acción";"120 pies";"V, S";"Instantánea";"Arrojas una mota de fuego a una criatura u objeto dentro del alcance. Haz un ataque de conjuro a distancia contra el objetivo. Si impactas, el objetivo recibe 1d10 de daño de fuego. Los objetos inflamables que se encuentren en el área que no lleve o vista nadie arderán.<BR>El daño del conjuro aumenta en 1d10 cuando alcanzas nivel 5 (2d10), nivel 11 (3d10) y nivel 17 (4d10).";"PHB"
"0";"DESCARGA SOBRENATURAL";"Evocación";"1 acción";"120 pies";"V, S";"Instantánea";"Lanzas un rayo de energía chisporroteante hacia una criatura de tu elección dentro del alcance. Haz un ataque de conjuro a distancia contra el objetivo. Si impactas, el objetivo recibe 1d10 de daño de fuerza.<BR><strong>A niveles superiores. </strong>Este conjuro crea dos rayos a nivel 5, tres rayos a nivel 11 y cuatro rayos a nivel 17. Puedes dirigir los rayos al mismo o a distintos objetivos. Haz una tirada de ataque separada para cada rayo.";"PHB"
"0";"ESTALLIDO DE ESPADAS";"Conjuración";"1 acción";"5 pies";"V";"Instantánea";"Crees momentáneamente un circulo de espadas espectrales que gira a tu alrededor. Todas las criaturas dentro de tu alcance (salvo tu) deberán superar una tirada de salvación de Destreza o recibirán 1d6 de daño de fuerza.<BR><strong>A niveles superiores. </strong>El daño del conjuro aumenta en 1d6 cuando alcanzas el nivel 5 (2d6), el nivel 11 (3d6) y el nivel 17 (4d6).";"TCE"
"0";"FILO ATRONADOR";"Evocación";"1 acción";"5 pies";"V, M";"1 asalto";"(un arma)Como parte del lanzamiento de este conjuro, debes realizar un ataque cuerpo a cuerpo con un arma contra una criatura que se encuentre dentro del alcance del conjuro. De lo contrario, fallará. Si impactas, el objetivo sufrirá los efectos normales del ataque y, además, se verá envuelto en una energía atronadora hasta el principio de tu siguiente turno. Si la criatura se mueve voluntariamente antes de que llegue ese momento, recibirá de forma inmediata 1d8 de daño de trueno y el conjuro acabará.<BR><strong>A niveles superiores. </strong>El daño de este conjuro aumenta cuando alcanzas niveles superiores. A nivel 5, el ataque cuerpo a cuerpo inflige al objetivo 1d8 de daño de trueno adicional, y el daño que la víctima recibe si se mueve aumenta a 2d8. Estas dos tiradas de daño aumentan en 1d8 cuando alcanzas el nivel 11 y el nivel 17.";"TCE"
"0";"FILO DE LLAMAS VERDES";"Evocación";"1 acción";"5 pies";"V, M";"Instantánea";"(un arma)Como parte del lanzamiento de este conjuro, debes hacer un ataque cuerpo a cuerpo con un arma contra una criatura dentro de tu alcance. De lo contrario, el conjuro fallará. Si impactas, el objetivo sufrirá los efectos normales del ataque y, además, unas llamas verdes brotarán de él, saltando a otra criatura de tu elección que puedas ver y a 5 pies o menos del objetivo. Esta segunda criatura recibirá tanto daño de fuego como tu modificador por aptitud mágica.<BR><strong>A niveles superiores. </strong>El daño de este conjuro aumenta cuando alcanzas niveles superiores. A nivel 5, el ataque cuerpo a cuerpo inflige al objetivo 1d8 de daño de fuego adicional, y el daño a la segunda criatura aumenta a 1d8 + tu modificador por aptitud mágica. Estas dos tiradas de daño aumentan en 1d8 cuando alcanzas el nivel 11 y el nivel 17.";"TCE"
"0";"GUARDIA DE CUCHILLAS";"Abjuración";"1 acción";"Personal";"V, S";"1 asalto";"Extiendes tu mano y trazas un sello de guarda en el aire. Hasta el final de tu próximo turno, tienes resistencia contra el daño contundente, perforante y cortante que provenga de ataques con armas.";"PHB"
"0";"GUÍA";"Adivinación";"1 acción";"Contacto";"V, S";"Concentración, hasta 1 minuto";"Tocas a una criatura voluntaria. Una sola vez, antes de que termine el conjuro, el objetivo puede tirar 1d4 y añadir el resultado a una prueba de característica de su elección. Puede tirar el dado antes o después de conocer el resultado de la prueba. Hacer esto termina el conjuro.";"PHB"
