"AMISTAD";"";"True"
"ASTILLA MENTAL";"";"True"
"ATRACCIÓN DEL RELÁMPAGO";"";"True"
"CONGELACIÓN";"";"True"
"CREAR HOGUERA";"";"True"
"DESCARGA SOBRENATURAL";"";"True"
"ESTALLIDO DE ESPADAS";"";"True"
"FILO ATRONADOR";"";"True"
"FILO DE LLAMAS VERDES";"";"True"
"GUARDIA DE CUCHILLAS";"";"True"
"ILUSIÓN MENOR";"";"True"
"IMPACTO CERTERO";"";"True"
"INFESTACIÓN";"";"True"
"MANO DE MAGO";"";"True"
"PALMADA ATRONADORA";"";"True"
"PIEDRA MÁGICA";"";"True"
"PRESTIDIGITACIÓN";"";"True"
"ROCIADA VENENOSA";"";"True"
"TOCAR A LOS MUERTOS";"";"True"
"TOQUE HELADO";"";"True"
"ARMADURA DE AGATHYS";"";"True"
"BRAZOS DE HADAR";"";"True"
"CASTIGO FURIOSO";"Hexblade";"True"
"CAUSAR MIEDO";"";"True"
"CREAR O DESTRUIR AGUA";"Insondable";"True"
"CURAR HERIDAS";"Celestial";"True"
"DETECTAR EL BIEN Y EL MAL";"Genio";"True"
"DORMIR";"Feérico";"True"
"ENTENDER IDIOMAS (RITUAL)";"";"True"
"ESCUDO";"Hexblade";"True"
"FUEGO FEÉRICO";"Feérico";"True"
"HECHIZAR PERSONA";"";"True"
"MALEFICIO";"";"True"
"MANOS ARDIENTES";"Ifrit";"True"
"MANOS ARDIENTES";"Infernal";"True"
"NUBE DE OSCURECIMIENTO";"Marid";"True"
"OLA ATRONADORA";"Djinn";"True"
"OLA ATRONADORA";"Insondable";"True"
"ORDEN IMPERIOSA";"Infernal";"True"
"PROTECCIÓN CONTRA EL BIEN Y EL MAL";"";"True"
"RAYO DE HECHICERÍA";"";"True"
"REPRENSIÓN INFERNAL";"";"True"
"RETIRADA EXPEDITIVA";"";"True"
"RISA HORRIBLE DE TASHA";"Primigenio";"True"
"SAETA GUÍA";"Celestial";"True"
"SANTUARIO";"Dao";"True"
"SIRVIENTE INVISIBLE (RITUAL)";"";"True"
