"AGARRE ELECTRIZANTE";"";"True"
"AMISTAD";"";"True"
"ASTILLA MENTAL";"";"True"
"ATRACCIÓN DEL RELÁMPAGO";"";"True"
"CONGELACIÓN";"";"True"
"CONTROLAR LLAMAS";"";"True"
"CREAR HOGUERA";"";"True"
"DESCARGA DE FUEGO";"";"True"
"ESTALLIDO DE ESPADAS";"";"True"
"FILO ATRONADOR";"";"True"
"FILO DE LLAMAS VERDES";"";"True"
"GUARDIA DE CUCHILLAS";"";"True"
"ILUSIÓN MENOR";"";"True"
"IMPACTO CERTERO";"";"True"
"INFESTACIÓN";"";"True"
"LUCES DANZANTES";"";"True"
"LUZ";"";"True"
"MANO DE MAGO";"";"True"
"MENSAJE";"";"True"
"MOLDEAR TIERRA";"";"True"
"PALMADA ATRONADORA";"";"True"
"PRESTIDIGITACIÓN";"";"True"
"RAYO DE ESCARCHA";"";"True"
"REPARAR";"";"True"
"ROCIADA VENENOSA";"";"True"
"RÁFAGA";"";"True"
"SALPICADURA ÁCIDA";"";"True"
"TOCAR A LOS MUERTOS";"";"True"
"TOQUE HELADO";"";"True"
"TRANSFORMAR AGUA";"";"True"
"ABSORBER ELEMENTOS";"";"True"
"ALARMA (RITUAL)";"";"True"
"ARMADURA DE MAGO";"";"True"
"BREBAJE CÁUSTICO DE TASHA";"";"True"
"CATAPULTA";"";"True"
"CAUSAR MIEDO";"";"True"
"CAÍDA DE PLUMA";"";"True"
"CUCHILLO DE HIELO";"";"True"
"DETECTAR MAGIA (RITUAL)";"";"True"
"DISCO FLOTANTE DE TENSER";"";"True"
"DISFRAZARSE";"";"True"
"DORMIR";"";"True"
"ENCONTRAR FAMILIAR (RITUAL)";"";"True"
"ENTENDER IDIOMAS (RITUAL)";"";"True"
"ESCUDO";"";"True"
"FALSA VIDA";"";"True"
"GRASA";"";"True"
"HECHIZAR PERSONA";"";"True"
"IDENTIFICAR (RITUAL)";"";"True"
"IMAGEN SILENCIOSA";"";"True"
"MANOS ARDIENTES";"";"True"
"NUBE DE OSCURECIMIENTO";"";"True"
"OLA ATRONADORA";"";"True"
"ORBE CROMÁTICO";"";"True"
"PROTECCIÓN CONTRA EL BIEN Y EL MAL";"";"True"
"PROYECTIL MÁGICO";"";"True"
"RAYO DE HECHICERÍA";"";"True"
"RAYO NAUSEABUNDO";"";"True"
"RETIRADA EXPEDITIVA";"";"True"
"RISA HORRIBLE DE TASHA";"";"True"
"ROCIADA DE COLOR";"";"True"
"SALTO";"";"True"
"SIRVIENTE INVISIBLE (RITUAL)";"";"True"
"TEMBLOR DE TIERRA";"";"True"
"TEXTO ILUSORIO";"";"True"
"TRAMPA DE LAZO";"";"True"
"ZANCADA PRODIGIOSA";"";"True"
"ABRASADOR DE AGANAZZAR";"";"True"
"ABRIR";"";"True"
"AGARRE DE TIERRA DE MAXIMILIANO";"";"True"
"AGRANDAR/REDUCIR";"";"True"
"ALIENTO DEL DRAGÓN";"";"True"
"ALTERAR EL PROPIO ASPECTO";"";"True"
"ARMA MÁGICA";"";"True"
"ATADURA DE HIELO DE RIME";"";"True"
"ATAR A LA TIERRA";"";"True"
"AUGURIO (RITUAL)";"";"True"
"AURA MÁGICA DE NYSTUL";"";"True"
"BOCA MÁGICA (RITUAL)";"";"True"
"CERRADURA ARCANA";"";"True"
"CONTORNO BORROSO";"";"True"
"CORONA DE LA LOCURA";"";"True"
"DETECTAR PENSAMIENTOS";"";"True"
"DIABLO DE POLVO";"";"True"
"DULCE DESCANSO (RITUAL)";"";"True"
"ESCRITURA CELESTE (RITUAL)";"";"True"
"ESFERA DE LLAMAS";"";"True"
"ESPINA MENTAL";"";"True"
"FLECHA ÁCIDA DE MELF";"";"True"
"FUERZA FANTASMAL";"";"True"
"HACER AÑICOS";"";"True"
"HOJA DE SOMBRA";"";"True"
"IMAGEN MÚLTIPLE";"";"True"
"INMOVILIZAR PERSONA";"";"True"
"INVISIBILIDAD";"";"True"
"LEVITAR";"";"True"
"LLAMA PERMANENTE";"";"True"
"LOCALIZAR OBJETO";"";"True"
"LÁTIGO MENTAL DE TASHA";"";"True"
"NUBE DE DAGAS";"";"True"
"OSCURIDAD";"";"True"
"PASO BRUMOSO";"";"True"
"PIROTECNIA";"";"True"
"POTENCIAR CARACTERÍSTICA";"";"True"
"RAYO ABRASADOR";"";"True"
"RAYO DEBILITADOR";"";"True"
"RÁFAGA DE VIENTO";"";"True"
"SORDERA/CEGUERA";"";"True"
"SUGESTIÓN";"";"True"
"TELARAÑA";"";"True"
"TORMENTA DE BOLAS DE NIEVE DE SNILLOC";"";"True"
"TRAVESURA DE NATHAIR";"";"True"
"TREPAR CUAL ARÁCNIDO";"";"True"
"TRUCO DE LA CUERDA";"";"True"
"VER INVISIBILIDAD";"";"True"
"VIENTO DE SALVAGUARDIA";"";"True"
"VISIÓN EN LA OSCURIDAD";"";"True"
"ACELERAR";"";"True"
"ANIMAR A LOS MUERTOS";"";"True"
"BOLA DE FUEGO";"";"True"
"CLARIVIDENCIA";"";"True"
"CONTRAHECHIZO";"";"True"
"CORCEL FANTASMA (RITUAL)";"";"True"
"CÍRCULO MÁGICO";"";"True"
"DESPLAZAMIENTO";"";"True"
"DISIPAR MAGIA";"";"True"
"DON DE LENGUAS";"";"True"
"ENEMIGOS ABUNDANTES";"";"True"
"FINGIR MUERTE (RITUAL)";"";"True"
"FLECHAS FLAMÍGERAS";"";"True"
"FORMA GASEOSA";"";"True"
"FORTALEZA INTELECTUAL";"";"True"
"GLIFO CUSTODIO";"";"True"
"HABLAR CON LOS MUERTOS";"";"True"
"IMAGEN MAYOR";"";"True"
"IMPONER MALDICIÓN";"";"True"
"INDETECTABLE";"";"True"
"INVOCAR DEMONIOS MENORES";"";"True"
"INVOCAR ENGENDRO SOMBRÍO";"";"True"
"INVOCAR FEÉRICO";"";"True"
"INVOCAR MUERTO VIVIENTE";"";"True"
"LEVANTAR MALDICIÓN";"";"True"
"MAREJADA";"";"True"
"METEOROS DIMINUTOS DE MELF";"";"True"
"MURO DE AGUA";"";"True"
"MURO DE ARENA";"";"True"
"NUBE APESTOSA";"";"True"
"PASO DE ASHARDALON";"";"True"
"PASO DE TRUENO";"";"True"
"PATRÓN HIPNÓTICO";"";"True"
"PEQUEÑA CHOZA DE LEOMUND (RITUAL)";"";"True"
"PROTECCIÓN CONTRA LA ENERGÍA";"";"True"
"RALENTIZAR";"";"True"
"RECADO";"";"True"
"RELÁMPAGO";"";"True"
"RESPIRAR BAJO EL AGUA (RITUAL)";"";"True"
"SERVIDOR MINÚSCULO";"";"True"
"SIESTECITA";"";"True"
"SUDARIO ESPIRITUAL";"";"True"
"TERROR";"";"True"
"TIERRA EN ERUPCIÓN";"";"True"
"TOQUE VAMPÍRICO";"";"True"
"TORMENTA DE AGUANIEVE";"";"True"
"TRANSFERENCIA DE VIDA";"";"True"
"VOLAR";"";"True"
"ADIVINACIÓN (RITUAL)";"";"True"
"ASESINO FANTASMAL";"";"True"
"COFRE OCULTO DE LEOMUND";"";"True"
"CONFUSIÓN";"";"True"
"CONJURAR ELEMENTALES MENORES";"";"True"
"CONTROLAR AGUA";"";"True"
"DESTIERRO";"";"True"
"ESCUDO DE FUEGO";"";"True"
"ESFERA ACUOSA";"";"True"
"ESFERA DE TORMENTA";"";"True"
"ESFERA ELÁSTICA DE OTILUKE";"";"True"
"ESFERA VITRIÓLICA";"";"True"
"FABRICAR";"";"True"
"HECHIZAR MONSTRUO";"";"True"
"INVISIBILIDAD MEJORADA";"";"True"
"INVOCAR ABERRACIÓN";"";"True"
"INVOCAR AUTÓMATA";"";"True"
"INVOCAR DEMONIO MAYOR";"";"True"
"INVOCAR ELEMENTAL";"";"True"
"LANZA PSÍQUICA DE RAULOTHIM";"";"True"
"LOCALIZAR CRIATURA";"";"True"
"MARCHITAR";"";"True"
"MASTÍN FIEL DE MORDENKAINEN";"";"True"
"MOLDEAR LA PIEDRA";"";"True"
"MURO DE FUEGO";"";"True"
"OJO ARCANO";"";"True"
"PERDICIÓN ELEMENTAL";"";"True"
"PIEL PÉTREA";"";"True"
"POLIMORFAR";"";"True"
"PUERTA DIMENSIONAL";"";"True"
"RESPLANDOR ENFERMIZO";"";"True"
"SANCTASANCTÓRUM PRIVADO DE MORDENKAINEN";"";"True"
"TENTÁCULOS NEGROS DE EVARD";"";"True"
"TERRENO ALUCINATORIO";"";"True"
"TORMENTA DE HIELO";"";"True"
"ALTERAR LOS RECUERDOS";"";"True"
"AMANECER";"";"True"
"ANIMAR OBJETOS";"";"True"
"APARIENCIA";"";"True"
"ATADURA PLANAR";"";"True"
"CONJURAR ELEMENTAL";"";"True"
"CONO DE FRÍO";"";"True"
"CONOCER LAS LEYENDAS";"";"True"
"CONTACTAR CON OTRO PLANO (RITUAL)";"";"True"
"CONTROLAR VIENTOS";"";"True"
"CREACIÓN";"";"True"
"CÍRCULO DE TELETRANSPORTACIÓN";"";"True"
"DANZA MACABRA";"";"True"
"DOMINAR PERSONA";"";"True"
"EMPODERAR HABILIDADES";"";"True"
"ENERVACIÓN";"";"True"
"ENGAÑAR";"";"True"
"ENLACE TELEPÁTICO DE RARY (RITUAL)";"";"True"
"ENSUEÑO";"";"True"
"ESCUDRIÑAR";"";"True"
"ESTÁTICA SINÁPTICA";"";"True"
"GEAS";"";"True"
"GOLPE DE VIENTO DE ACERO";"";"True"
"INMOLACIÓN";"";"True"
"INMOVILIZAR MONSTRUO";"";"True"
"INUNDACIÓN DE ENERGÍA NEGATIVA";"";"True"
"INVOCAR ESPÍRITU DRACÓNICO";"";"True"
"LLAMADA INFERNAL";"";"True"
"MANO DE BIGBY";"";"True"
"MURO DE FUERZA";"";"True"
"MURO DE LUZ";"";"True"
"MURO DE PIEDRA";"";"True"
"NUBE ANIQUILADORA";"";"True"
"PASAMUROS";"";"True"
"PASO LEJANO";"";"True"
"TELEQUINESIS";"";"True"
"TRANSMUTAR ROCA";"";"True"
"APARIENCIA SOBRENATURAL DE TASHA";"";"True"
"BAILE IRRESISTIBLE DE OTTO";"";"True"
"CONTINGENCIA";"";"True"
"CREAR HOMÚNCULO";"";"True"
"CREAR MUERTO VIVIENTE";"";"True"
"CÍRCULO DE MUERTE";"";"True"
"DE LA CARNE A LA PIEDRA";"";"True"
"DESINTEGRAR";"";"True"
"DISPERSIÓN";"";"True"
"ESCUDO DE PLATINO DE FIZBAN";"";"True"
"ESFERA CONGELANTE DE OTILUKE";"";"True"
"GLOBO DE INVULNERABILIDAD";"";"True"
"GUARDAS Y GUARDIAS";"";"True"
"ILUSIÓN PROGRAMADA";"";"True"
"INVESTIDURA DE HIELO";"";"True"
"INVESTIDURA DE LLAMAS";"";"True"
"INVESTIDURA DE PIEDRA";"";"True"
"INVESTIDURA DE VIENTO";"";"True"
"INVOCACIÓN INSTANTÁNEA DE DRAWMIJ (RITUAL)";"";"True"
"INVOCAR INFERNAL";"";"True"
"JAULA DE ALMA";"";"True"
"MAL DE OJO";"";"True"
"MOVER LA TIERRA";"";"True"
"MURO DE HIELO";"";"True"
"PRISIÓN MENTAL";"";"True"
"PUERTA ARCANA";"";"True"
"RAYO SOLAR";"";"True"
"RELÁMPAGO EN CADENA";"";"True"
"SUGESTIÓN EN MASA";"";"True"
"TRANSFORMACIÓN DE TENSER";"";"True"
"URNA MÁGICA";"";"True"
"VISIÓN VERAZ";"";"True"
"BOLA DE FUEGO DE EXPLOSIÓN RETARDADA";"";"True"
"CORONA DE ESTRELLAS";"";"True"
"DEDO DE LA MUERTE";"";"True"
"DESPLAZAMIENTO ENTRE PLANOS";"";"True"
"ESPADA DE MORDENKAINEN";"";"True"
"ESPEJISMO ARCANO";"";"True"
"EXCURSIÓN ETÉREA";"";"True"
"INVERTIR LA GRAVEDAD";"";"True"
"JAULA DE FUERZA";"";"True"
"MANSIÓN MAGNÍFICA DE MORDENKAINEN";"";"True"
"PALABRA DE PODER: DOLOR";"";"True"
"PROYECTAR IMAGEN";"";"True"
"RECLUIR";"";"True"
"ROCIADA PRISMÁTICA";"";"True"
"SIMULACRO";"";"True"
"SUEÑO DEL VELO AZUL";"";"True"
"SÍMBOLO";"";"True"
"TELETRANSPORTE";"";"True"
"TORBELLINO";"";"True"
"TRANSFORMACIÓN DRACÓNICA";"";"True"
"ANTIPATÍA/SIMPATÍA";"";"True"
"CAMPO ANTIMAGIA";"";"True"
"CLON";"";"True"
"CONTROLAR EL CLIMA";"";"True"
"DOMINAR MONSTRUO";"";"True"
"DRAGÓN ILUSORIO";"";"True"
"EXPLOSIÓN SOLAR";"";"True"
"FORTALEZA PODEROSA";"";"True"
"LABERINTO";"";"True"
"MARCHITAMIENTO HORRIBLE DE ABI-DALZIM";"";"True"
"MENTE EN BLANCO";"";"True"
"NUBE INCENDIARIA";"";"True"
"OSCURIDAD ENLOQUECEDORA";"";"True"
"PALABRA DE PODER: ATURDIR";"";"True"
"ROMPER LA MENTE";"";"True"
"SEMIPLANO";"";"True"
"TELEPATÍA";"";"True"
"CAMBIAR DE FORMA";"";"True"
"CAUTIVERIO";"";"True"
"DESEO";"";"True"
"GRITO PSÍQUICO";"";"True"
"HOJA DEL DESASTRE";"";"True"
"INVULNERABILIDAD";"";"True"
"MURO PRISMÁTICO";"";"True"
"PALABRA DE PODER: MATAR";"";"True"
"PARAR EL TIEMPO";"";"True"
"POLIMORFAR EN GRUPO";"";"True"
"POLIMORFAR VERDADERO";"";"True"
